type;name;gnd-id;gnd-url;bemerkungen;gnd-name;lobid-search-url;j-special;j-geburt;j-tod
persName;Bertha Reißert;;;;Reißert, Bertha;http://lobid.org/gnd/search?q=Bertha+Reißert;;1823;1900
persName;Irene Freifrau von Reyer;1050532007;;;Reyer, Irene Freifrau von;;;1841;1898
persName;Franz Thaddäus Freiherr von Reyer;139113142;;;Reyer, Franz Thaddäus Freiherr von;;;1824;1909
persName;Ernest Renan;118744496;http://d-nb.info/gnd/118744496;;Renan, Ernest;http://lobid.org/gnd/search?q=Ernest+Renan;;1823;1892
persName;Hermann Reuchlin;116450606;http://d-nb.info/gnd/116450606;;Reuchlin, Hermann;http://lobid.org/gnd/search?q=Hermann+Reuchlin;;1810;1873
persName;Alfred von Reumont;116450932;;;Reumont, Alfred von;http://lobid.org/gnd/search?q=Alfred+von+Reumont;;1808;1887
persName;Otto Richter;117532282;;;Richter, Otto;;;1843;1918
persName;Ercole Ricotti;116531347;;;Ricotti, Ercole;;;1816;1883
persName;Adelaide Ristori;118836420;;;Ristori, Adelaide;;;1822;1906
persName;Christiane Riefstahl;;;;Riefstahl, Christiane;;;;
persName;Julius Rodenberg;118601709;http://d-nb.info/gnd/118601709;;Rodenberg, Julius;http://lobid.org/gnd/search?q=Julius+Rodenberg;;1831;1914
persName;Ettore Roesler-Franz;119249286;http://d-nb.info/gnd/119249286;;Roesler Franz, Ettore;http://lobid.org/gnd/search?q=Ettore+Roesler-Franz;;1852;1907
persName;Otto Roquette;119034883;http://d-nb.info/gnd/119034883;;Roquette, Otto;http://lobid.org/gnd/search?q=Otto+Roquette;;1824;1896
persName;Karl Rosenkranz;118602721;;;Rosenkranz, Karl;http://lobid.org/gnd/search?q=Karl+Rosenkranz;;1805;1879
persName;Emma Ross;;;;Ross, Emma;http://lobid.org/gnd/search?q=Emma+Ross;;1823;1919
persName;Louis Roth;1073430782;;;Roth, Louis;http://lobid.org/gnd/search?q=Louis+Roth;;1802;1875
persName;Augusto Ruspoli;;;;Ruspoli, Augusto;;;1817;1882
persName;Marie Rückert;116673818;http://d-nb.info/gnd/116673818;;Rückert, Marie;http://lobid.org/gnd/search?q=Marie+Rückert;;1835;1920
persName;Franz Rühl;116675586;http://d-nb.info/gnd/116675586;;Rühl, Franz;http://lobid.org/gnd/search?q=Franz+Rühl;;1845;1915
persName;Odo William Leopold Russell;119164639;;;Russell, Odo William Leopold;http://lobid.org/gnd/search?q=Odo+William+Leopold+Russell;;1829;1884
persName;Caroline Ungher-Sabatier;11729392X;;;Ungher-Sabatier, Caroline;;;1803;1877
persName;François Sabatier;116713356;;;Sabatier, François;http://lobid.org/gnd/search?q=François+Sabatier;;1818;1891
orgName;Sandoz & Fischbacher;1072983206;http://d-nb.info/gnd/1072983206;;Sandoz & Fischbacher;http://lobid.org/gnd/search?q=Sandoz+&+Fischbacher;;;
persName;Adolf Friedrich Graf von Schack;118606042;http://d-nb.info/gnd/118606042;;Schack, Adolf Friedrich von;http://lobid.org/gnd/search?q=Adolf+Friedrich+Graf+von+Schack;;1815;1894
persName;Joseph Victor von Scheffel;118606832;;;Scheffel, Joseph Victor von;;;1826;1886
persName;Georg Scherer;11721888X;;;Scherer, Georg;http://lobid.org/gnd/search?q=Georg+Scherer;;1828;1909
persName;Karl Ritter von Scherzer;117222364;http://d-nb.info/gnd/117222364;;Scherzer, Karl Ritter von;http://lobid.org/gnd/search?q=Karl+Ritter+von+Scherzer;;1821;1903
persName;Heinrich Schliemann;118608215;http://d-nb.info/gnd/118608215;;Schliemann, Heinrich;http://lobid.org/gnd/search?q=Heinrich+Schliemann;;1822;1890
persName;Sophie Schliemann;118759418;http://d-nb.info/gnd/118759418;;Schliemann, Sophie;http://lobid.org/gnd/search?q=Sophie+Schliemann;;1852;1932
persName;Kurd von Schlözer;118795147;http://d-nb.info/gnd/118795147;;Schlözer, Kurd von;http://lobid.org/gnd/search?q=Kurd+von+Schlözer;;1822;1894
persName;Maximilian Schmidt genannt Waldschmidt;118608886;;;Schmidt genannt Waldschmidt, Maximilian;http://lobid.org/gnd/search?q=Maximilian+Schmidt+genannt+Waldschmidt;;1832;1919
persName;Emil Schönaich-Carolath;118795317;http://d-nb.info/gnd/118795317;;Schönaich-Carolath, Emil von;http://lobid.org/gnd/search?q=Emil+Schönaich-Carolath;;1852;1908
